email_id,thread_id,subject,customer_name,customer_tier,received_at,sla_due_at,email_text,category,priority,department,sentiment,spam,urgency,escalation_required,draft_response
email-00186,thread-1114,Reseller program discussion,Greenline Capital,enterprise,2026-03-10T23:53:30.825299+00:00,2026-03-11T23:53:30.825299+00:00,We want to discuss a strategic integration partnership with a co-marketing launch. We are disappointed by the lack of clarity in the last reply. Please get back to us within one business day. Our account tier is enterprise.,partnership,medium,partnerships,negative,0,medium,0,"Hello Greenline Capital,

Our partnerships team has reviewed your partnership request. We have marked it as medium priority with medium urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-04584,thread-1584,Guaranteed profit opportunity,Lumina Travel,free,2026-03-06T06:57:30.983983+00:00,2026-03-09T06:57:30.983983+00:00,Congratulations! You have been selected for a guaranteed investment return with zero risk.,sales,low,sales,negative,1,low,0,No response required. Mark as spam and quarantine sender.
email-02618,thread-0162,Commercial discussion for expansion,Redwood Telecom,enterprise,2026-03-28T10:40:30.905756+00:00,2026-03-29T10:40:30.905756+00:00,We are evaluating vendors and need pricing for 250 enterprise seats. Overall we have had a good experience so far. Please get back to us within one business day. Our account tier is enterprise.,sales,medium,sales,positive,0,medium,0,"Hello Redwood Telecom,

Our sales team has reviewed your sales request. We have marked it as medium priority with medium urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-03257,thread-0568,Urgent access anomaly investigation,Greenline Capital,enterprise,2026-03-01T22:59:30.935554+00:00,2026-03-02T06:59:30.935554+00:00,We detected suspicious login attempts from multiple regions and need incident support. We are disappointed by the lack of clarity in the last reply. This needs to be addressed before end of day to avoid customer impact. Our account tier is enterprise.,security,high,security,negative,0,high,1,"Hello Greenline Capital,

Our security team has reviewed your security request. We have marked it as high priority with high urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-01317,thread-1185,Platform outage affecting user access,Greenline Capital,enterprise,2026-03-17T22:42:30.864978+00:00,2026-03-18T22:42:30.864978+00:00,The analytics dashboard is timing out whenever we export usage reports. The current experience is below expectations. Please get back to us within one business day. Our account tier is enterprise.,technical_support,medium,support,negative,0,medium,0,"Hello Greenline Capital,

Our support team has reviewed your technical support request. We have marked it as medium priority with medium urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-04432,thread-0523,Urgent redline feedback needed,BluePeak Energy,pro,2026-03-04T22:08:30.979892+00:00,2026-03-05T06:08:30.979892+00:00,Please send the latest DPA and confirm retention clauses for customer data in the EU. Our executives are escalating this because the delay is costing us money. Please get back to us within one business day. Our account tier is pro.,legal,high,legal,frustrated,0,medium,0,"Hello BluePeak Energy,

Our legal team has reviewed your legal request. We have marked it as high priority with medium urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-00482,thread-0182,Integration issue delaying shipments,Evercore Media,free,2026-03-20T19:06:30.836222+00:00,2026-03-23T19:06:30.836222+00:00,Please expedite a workaround for nightly batch jobs missing SLA windows. Overall we have had a good experience so far. Please get back to us within one business day. Our account tier is free.,operations,low,operations,positive,0,medium,0,"Hello Evercore Media,

Our operations team has reviewed your operations request. We have marked it as low priority with medium urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-03241,thread-0583,Integration issue delaying shipments,Pioneer Labs,pro,2026-03-11T09:58:30.935128+00:00,2026-03-12T09:58:30.935128+00:00,A warehouse integration is failing and shipments are stuck in pending status. We are disappointed by the lack of clarity in the last reply. This needs to be addressed before end of day to avoid customer impact. Our account tier is pro.,operations,medium,operations,negative,0,high,0,"Hello Pioneer Labs,

Our operations team has reviewed your operations request. We have marked it as medium priority with high urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-03376,thread-0987,Urgent redline feedback needed,Evercore Media,pro,2026-03-08T14:33:30.940002+00:00,2026-03-08T22:33:30.940002+00:00,Our legal team flagged indemnification language in section 7.1 of the MSA. This issue is disrupting our team and needs attention. This needs to be addressed before end of day to avoid customer impact. Our account tier is pro.,legal,high,legal,negative,0,high,0,"Hello Evercore Media,

Our legal team has reviewed your legal request. We have marked it as high priority with high urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
email-01256,thread-0344,Platform outage affecting user access,BluePeak Energy,pro,2026-03-15T07:56:30.862002+00:00,2026-03-16T07:56:30.862002+00:00,The analytics dashboard is timing out whenever we export usage reports. We are disappointed by the lack of clarity in the last reply. Please get back to us within one business day. Our account tier is pro.,technical_support,medium,support,negative,0,medium,0,"Hello BluePeak Energy,

Our support team has reviewed your technical support request. We have marked it as medium priority with medium urgency and assigned an owner. We will share the next update before the current SLA window ends.

Best,
Enterprise Support"
